Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,,MIL,L1-2,12.0,10,2,2,0,2,9,0,1,1.50,45,153,101,2,0,1,1,42,2,0,0,0,0,0,3,6,Gerry Davis,C.Richard (99-64) K.Yates (99) K.McGrath (99) C.Stammen (99) B.Hand (99) A.Cimber (99-L)
2,2,Mar 30,,MIL,L6-8,9.0,11,8,5,3,1,4,1,0,3.00,40,136,100,2,0,1,0,37,4,0,0,1,1,2,1,5,Mark Carlson,J.Lucchesi (99-39) K.Makita (99) C.Stammen (0-H) K.Yates (0-H) B.Hand (0-BL)
3,3,Mar 31,,MIL,L3-7,9.0,12,7,7,0,6,9,0,0,4.20,45,180,108,2,1,3,0,39,3,0,1,0,0,0,0,4,Brian Knight,L.Perdomo (99-31-L) R.Erlin (99) A.Cimber (1) J.Lyles (99)
4,4,Apr 2,,COL,L4-7,9.0,12,7,7,0,6,3,3,0,4.85,44,165,92,2,0,1,0,37,4,0,0,0,1,0,0,4,Alfonso Marquez,B.Mitchell (99-28-L) J.Lyles (1) K.McGrath (3) A.Cimber (1)
5,5,Apr 3,,COL,W8-4,9.0,6,4,4,0,5,5,0,0,4.69,36,133,78,2,0,0,0,31,2,0,0,0,0,0,0,5,Bruce Dreckman,T.Ross (99-49-W) C.Stammen (3-H) K.Yates (3) K.Makita (3) B.Hand (3-Sv)
6,6,Apr 4,,COL,L2-5,9.0,9,5,5,0,3,11,0,0,4.74,38,157,99,0,0,0,0,35,2,0,1,0,0,0,0,4,Chad Fairchild,C.Richard (5-34-L) A.Cimber (1) R.Erlin (3) K.Makita (0)
7,7,Apr 5,,COL,L1-3,9.0,4,3,0,3,7,11,0,0,4.09,39,154,92,2,0,1,1,31,0,0,1,1,0,2,0,5,Mike Estabrook,J.Lucchesi (5-69) P.Maton (99) C.Stammen (1) B.Hand (1-L) J.Lyles (2)
8,8,Apr 6,@,HOU,W4-1,9.0,4,1,1,0,4,12,0,0,3.72,35,157,104,0,0,0,0,30,0,0,0,0,1,0,0,4,D.J. Reyburn,L.Perdomo (5-56-W) J.Lyles (0-H) K.Yates (2-H) B.Hand (0-Sv)
9,9,Apr 7,@,HOU,L0-1,9.2,6,1,1,0,6,8,0,0,3.40,38,167,99,3,1,2,0,32,0,0,0,0,0,0,2,6,Sam Holbrook,B.Mitchell (4-58) C.Stammen (1) K.Yates (0) K.Makita (2) R.Erlin (2-L) P.Maton (1)
10,10,Apr 8,@,HOU,L1-4,8.0,6,4,4,0,0,10,2,0,3.50,30,133,89,0,0,0,0,30,0,0,0,0,0,0,0,2,Ryan Blakney,T.Ross (4-51-L) A.Cimber (3)
11,11,Apr 9,@,COL,W7-6,9.0,7,6,6,0,5,8,3,0,3.72,38,139,81,2,0,0,0,33,1,0,0,0,0,0,1,4,Adrian Johnson,C.Richard (4-41-W) J.Lyles (2-H) C.Stammen (1-H) B.Hand (2-Sv)
12,12,Apr 10,@,COL,W5-2,9.0,5,2,0,2,1,10,1,0,3.42,31,111,79,2,0,1,0,30,0,1,0,0,0,1,3,5,Tripp Gibson,J.Lucchesi (4-67-W) K.Makita (2-H) R.Erlin (2-H) A.Cimber (1-H) B.Hand (0-Sv)
13,13,Apr 11,@,COL,L4-6,8.0,9,6,3,3,3,11,0,1,3.41,37,147,96,2,2,1,0,30,1,0,0,2,1,1,1,4,Brian Gorman,L.Perdomo (4-48) B.Baumann (99-L) A.Cimber (0) P.Maton (3)
14,14,Apr 12,,SFG,L0-7,9.0,10,7,3,4,8,7,0,1,3.38,46,171,103,3,0,0,0,36,2,0,0,1,0,1,0,4,Mike Winters,B.Mitchell (4-36-L) J.Lyles (2) C.Brewer (99) R.Erlin (1)
15,15,Apr 13,,SFG,W5-1,9.0,10,1,0,1,1,8,0,1,3.16,37,126,90,4,1,0,0,35,0,0,0,0,0,1,2,4,Tim Timmons,T.Ross (4-60-W) C.Stammen (3-H) K.Makita (2) B.Hand (2-Sv)
16,16,Apr 14,,SFG,W5-4,9.0,9,4,4,0,3,11,2,0,3.21,37,149,87,1,0,0,1,34,1,2,0,0,0,0,0,4,Rob Drake,C.Richard (4-37) A.Cimber (2-W) P.Maton (2-H) B.Hand (0-Sv)
17,17,Apr 15,,SFG,W10-1,9.0,7,1,1,0,1,12,0,0,3.08,34,127,80,0,0,0,0,32,2,0,0,0,1,0,1,3,Mike Muchlinski,J.Lucchesi (4-67-W) J.Lyles (2) K.McGrath (12)
18,18,Apr 16,,LAD,L3-10,9.0,9,10,9,1,7,11,2,0,3.41,43,170,106,0,0,0,0,36,2,1,1,0,0,2,1,5,Carlos Torres,R.Erlin (3-25-L) A.Cimber (1) K.McGrath (0) P.Maton (1) K.Makita (2)
