Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,,CLE,W2-1,29,28,2,6,1,0,1,2,1,0,8,0,0,0,0,2,0,0,.214,.241,.357,.599,3,10,R,C.Kluber (69)
2,2,Mar 31,,CLE,L5-6,37,36,5,10,1,0,2,5,1,1,8,0,0,0,0,0,0,0,.250,.273,.422,.695,5,11,R,C.Carrasco (39)
3,3,Apr 1,,CLE,W5-4,37,31,5,8,4,0,2,5,4,0,8,1,1,0,0,0,0,0,.253,.304,.474,.778,8,10,R,T.Bauer (53)
4,4,Apr 3,@,SFG,W6-4,41,34,6,12,2,0,0,6,5,0,7,0,1,1,0,2,2,0,.279,.338,.457,.795,8,13,L,T.Blach (19)
5,5,Apr 4,@,SFG,L1-10,38,34,1,10,2,0,0,1,4,0,5,0,0,0,0,2,0,0,.282,.344,.436,.780,10,15,R,J.Cueto (51)
6,6,Apr 5,@,MIN,L2-4,40,36,2,8,0,0,0,2,4,0,7,0,0,0,1,1,2,0,.271,.336,.397,.733,11,10,R,K.Gibson (45)
7,7,Apr 7,@,MIN,W11-4,42,39,11,12,3,0,2,10,3,0,12,0,0,0,0,0,0,0,.277,.340,.420,.760,4,12,R,J.Berrios (39)
8,8,Apr 9,@,KCR,L0-10,32,27,0,2,0,0,0,0,2,0,6,3,0,0,0,2,0,0,.257,.327,.385,.711,5,10,R,J.Junis (76)
9,9,Apr 10,@,KCR,W8-3,43,34,8,9,4,1,1,8,5,1,4,3,0,1,1,1,2,1,.258,.335,.401,.737,8,9,L,E.Skoglund (31)
10,10,Apr 11,@,KCR,W4-2,36,31,4,6,1,0,1,3,4,0,10,0,0,1,0,1,0,0,.252,.330,.394,.724,5,11,L,D.Duffy (58)
11,11,Apr 13,,OAK,W7-4,37,34,7,11,2,0,2,7,3,0,7,0,0,0,0,0,0,1,.258,.334,.409,.743,6,10,R,A.Triggs (51)
12,12,Apr 14,,OAK,W10-8,44,42,10,17,2,0,4,9,2,0,7,0,0,0,1,0,2,0,.273,.344,.443,.787,10,11,R,K.Graveman (29)
13,13,Apr 15,,OAK,L1-2,32,28,1,2,0,0,1,1,3,0,5,0,1,0,0,0,0,0,.260,.332,.426,.758,4,11,L,S.Manaea (71)
14,14,Apr 16,,HOU,W2-1,31,30,2,6,3,0,1,2,1,0,6,0,0,0,0,0,0,0,.256,.326,.425,.750,5,9,L,D.Keuchel (67)
15,15,Apr 17,,HOU,L1-4,30,29,1,3,0,0,1,1,1,0,14,0,0,0,0,0,0,0,.247,.315,.412,.727,2,9,R,L.McCullers (81)
16,16,Apr 18,,HOU,L1-7,32,30,1,5,0,0,0,1,2,0,8,0,0,0,0,1,3,0,.243,.310,.398,.707,4,11,R,G.Cole (68)
17,17,Apr 19,,HOU,L2-9,35,34,2,7,2,0,0,2,1,0,10,0,0,0,0,0,0,0,.241,.305,.390,.695,6,11,R,C.Morton (79)
18,18,Apr 20,@,TEX,W6-2,43,38,6,14,5,0,1,6,2,1,9,1,2,0,1,1,3,1,.249,.312,.402,.714,10,11,L,M.Minor (57)
19,19,Apr 21,@,TEX,W9-7,41,37,9,13,2,0,3,9,2,0,5,1,0,1,0,1,0,1,.255,.317,.416,.733,5,11,R,B.Colon (40)
20,20,Apr 22,@,TEX,L4-7,43,39,4,10,3,1,1,4,3,0,9,1,0,0,2,0,0,0,.255,.317,.419,.736,12,11,L,M.Perez (53)
21,21,Apr 23,@,CHW,L4-10,35,33,4,9,4,0,2,4,1,0,4,0,0,1,0,0,0,0,.256,.316,.426,.742,4,9,R,C.Fulmer (60)
22,22,Apr 24,@,CHW,W1-0,34,32,1,5,1,0,0,1,1,0,5,1,0,0,1,0,0,1,.251,.311,.416,.727,6,10,R,C.Volstad (56)
23,23,Apr 25,@,CHW,W4-3,41,35,4,8,2,0,1,4,6,1,7,0,0,0,1,0,1,0,.250,.313,.414,.726,10,10,R,J.Shields (44)
24,24,Apr 26,@,CLE,W5-4,37,35,5,10,4,1,0,5,2,1,6,0,0,0,0,2,0,0,.252,.313,.416,.729,5,10,R,M.Clevinger (44)
25,25,Apr 27,@,CLE,L5-6,35,32,5,6,1,0,2,5,3,0,10,0,0,0,0,1,0,0,.249,.311,.415,.726,3,10,R,C.Kluber (71)
26,26,Apr 28,@,CLE,W12-4,44,38,12,12,3,0,4,12,3,0,6,1,0,1,0,0,2,0,.252,.314,.428,.742,5,10,R,C.Carrasco (34)
27,27,Apr 29,@,CLE,W10-4,44,42,10,14,2,1,4,10,1,0,7,1,0,0,1,0,0,0,.256,.316,.441,.757,7,9,R,J.Tomlin (31)
28,28,May 1,,OAK,W6-3,39,32,6,9,3,0,1,6,5,0,8,1,0,1,0,0,2,0,.257,.318,.442,.760,9,9,R,A.Triggs (37)
29,29,May 2,,OAK,L2-3,38,35,2,9,1,0,1,2,3,1,8,0,0,0,0,0,0,0,.257,.318,.440,.758,9,11,L,B.Anderson (58)
30,30,May 3,,OAK,W4-1,33,29,4,7,1,0,1,4,0,0,6,2,2,0,0,0,2,0,.256,.317,.438,.755,5,9,L,S.Manaea (49)
31,31,May 4,,LAA,L0-5,31,29,0,5,0,0,0,0,1,0,11,0,0,0,0,3,0,0,.254,.314,.430,.745,4,9,R,G.Richards (73)
32,32,May 5,,LAA,W9-8,51,45,9,15,5,0,1,7,5,0,12,0,1,0,1,0,1,1,.257,.318,.434,.752,11,11,L,T.Skaggs (54)
33,33,May 6,,LAA,L2-8,37,30,2,6,0,0,1,2,6,0,6,1,0,0,0,2,0,0,.256,.319,.430,.749,8,11,R,S.Ohtani (56)
34,34,May 8,@,TOR,W5-0,41,37,5,12,1,0,1,5,3,0,5,0,0,1,0,1,1,0,.258,.321,.430,.751,9,9,R,M.Stroman (29)
35,35,May 9,@,TOR,L2-5,39,32,2,5,2,0,0,2,6,0,8,1,0,0,0,0,1,1,.255,.320,.425,.745,10,10,L,J.Garcia (53)
36,36,May 10,@,TOR,W9-3,47,41,9,17,2,0,4,9,5,0,9,0,0,1,0,2,1,0,.261,.325,.436,.761,11,9,L,J.Happ (13)
37,37,May 12 (1),@,DET,L3-4,37,30,3,4,2,0,0,3,5,0,7,1,0,1,0,0,0,0,.258,.324,.430,.754,7,11,L,M.Boyd (57)
38,38,May 12 (2),@,DET,W9-5,43,36,9,13,3,0,2,9,5,0,8,2,0,0,0,2,1,0,.260,.328,.435,.763,7,9,R,M.Fulmer (29)
39,39,May 13,@,DET,L4-5,42,37,4,11,0,0,1,4,2,0,6,2,1,0,1,1,2,0,.261,.329,.434,.763,11,11,L,B.Hardy (41)
40,40,May 14,@,MIN,W1-0,36,33,1,6,4,0,0,0,1,0,8,1,1,0,1,0,0,0,.260,.327,.430,.757,8,10,R,J.Odorizzi (70)
41,41,May 15,,TEX,W9-8,53,44,9,15,3,1,1,8,4,0,12,2,3,0,1,0,4,0,.262,.330,.433,.763,13,12,L,M.Minor (23)
42,42,May 16,,TEX,L1-5,33,32,1,6,1,0,1,1,1,0,3,0,0,0,0,1,0,0,.260,.327,.431,.758,5,10,R,B.Colon (74)
43,43,May 17,,DET,L2-3,35,32,2,7,2,0,0,2,2,0,14,0,1,0,0,0,0,1,.260,.326,.427,.753,6,9,L,M.Boyd (60)
44,44,May 18,,DET,W5-4,34,28,5,5,1,0,0,5,4,0,7,1,0,1,0,0,0,0,.258,.325,.423,.749,5,9,R,M.Fulmer (60)
45,45,May 19,,DET,W7-2,38,32,7,10,2,2,2,7,3,0,5,1,1,1,0,0,0,0,.259,.326,.429,.755,7,9,R,M.Fiers (40)
46,46,May 20,,DET,W3-2,38,35,3,6,0,0,1,3,3,0,6,0,0,0,0,0,1,1,.257,.325,.425,.750,5,11,L,F.Liriano (82)
47,47,May 22,@,OAK,W3-2,40,35,3,6,1,0,1,3,4,0,10,1,0,0,0,1,0,0,.255,.323,.422,.745,7,10,R,T.Cahill (62)
48,48,May 23,@,OAK,W1-0,36,33,1,6,1,0,0,1,3,0,7,0,0,0,1,1,2,0,.254,.322,.418,.740,8,11,R,D.Gossett (69)
49,49,May 24,@,OAK,L3-4,36,32,3,10,1,0,0,2,4,0,8,0,0,0,0,5,1,0,.255,.323,.416,.740,6,11,R,J.Lucas (40)
50,50,May 25,,MIN,W2-1,29,27,2,5,0,0,0,2,2,0,9,0,0,0,0,1,1,0,.254,.322,.413,.735,3,9,R,F.Romero (64)
51,51,May 26,,MIN,W4-3,44,41,4,10,0,0,3,4,1,0,7,1,1,0,0,2,1,0,.254,.321,.414,.735,5,10,R,J.Odorizzi (44)
52,52,May 27,,MIN,W3-1,34,33,3,11,1,0,1,3,1,0,9,0,0,0,0,0,1,1,.255,.322,.415,.736,7,9,R,J.Berrios (61)
53,53,May 28,,TEX,W2-1,32,28,2,6,0,0,0,2,2,0,2,1,1,0,1,1,0,1,.254,.321,.411,.733,6,9,R,D.Fister (53)
54,54,May 29,,TEX,L5-9,41,39,5,12,3,0,1,5,0,0,9,2,0,0,0,0,0,0,.256,.322,.413,.734,9,11,R,A.Bibens-Dirkx (35)
55,55,May 30,,TEX,L6-7,41,38,6,13,7,0,0,4,2,0,11,0,0,1,0,1,0,0,.257,.322,.415,.737,8,11,L,M.Moore (38)
