Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,,CLE,W2-1,9.0,5,1,1,0,2,8,0,2,1.00,35,137,85,1,0,2,0,30,1,0,0,0,0,0,2,6,Sam Holbrook,F.Hernandez (99-66-W) D.Altavilla (99-H) M.Rzepczynski (99-H) N.Vincent (99-H) J.Nicasio (99-H) E.Diaz (99-Sv)
2,2,Mar 31,,CLE,L5-6,9.0,6,6,6,0,4,8,2,0,3.50,37,155,93,1,0,0,0,33,1,0,0,0,0,0,0,4,Alfonso Marquez,J.Paxton (99-28-L) C.Lawrence (99) M.Rzepczynski (1) D.Altavilla (1)
3,3,Apr 1,,CLE,W5-4,9.0,7,4,4,0,3,8,2,0,3.67,37,139,91,0,0,1,0,34,1,0,1,0,0,1,1,3,Jim Wolf,M.Leake (99-60-W) J.Nicasio (2-H) E.Diaz (2-Sv)
4,4,Apr 3,@,SFG,W6-4,9.0,9,4,4,0,0,4,2,0,3.75,34,132,90,0,0,0,0,33,1,0,0,0,1,0,2,4,Ted Barrett,M.Gonzales (99-51-W) N.Vincent (4-H) J.Nicasio (1-H) E.Diaz (1-Sv)
5,5,Apr 4,@,SFG,L1-10,8.0,12,10,10,0,7,4,4,0,5.11,43,160,95,0,0,0,0,34,0,0,0,1,1,0,0,3,Lance Barksdale,F.Hernandez (5-14-L) J.Pazos (99) W.LeBlanc (99)
6,6,Apr 5,@,MIN,L2-4,8.0,8,4,4,0,2,11,3,0,5.02,35,144,93,3,0,0,0,33,0,0,0,0,0,1,0,4,Dan Bellino,J.Paxton (4-57) D.Altavilla (4-L) M.Rzepczynski (4) N.Vincent (1)
7,7,Apr 7,@,MIN,W11-4,9.0,9,4,4,0,5,7,0,0,4.87,40,177,111,5,1,1,0,35,4,0,0,0,0,0,0,6,Adam Hamari,M.Leake (5-49-W) M.Rzepczynski (1) D.Altavilla (1-H) N.Vincent (1-H) J.Nicasio (3-H) J.Pazos (2)
8,8,Apr 9,@,KCR,L0-10,8.0,13,10,10,0,5,8,1,2,5.61,44,176,106,2,1,1,0,37,4,0,0,0,0,0,0,4,Mark Carlson,M.Gonzales (5-28-L) C.Lawrence (8) C.Bradford (99) T.Motter (99)
9,9,Apr 10,@,KCR,W8-3,9.0,7,3,3,0,2,9,1,1,5.31,36,147,99,2,0,0,0,33,3,0,0,0,0,0,1,4,Brian Knight,F.Hernandez (5-47-W) D.Altavilla (2) J.Pazos (2) E.Diaz (6)
10,10,Apr 11,@,KCR,W4-2,9.0,7,2,2,0,2,12,0,1,4.97,37,146,92,0,0,0,1,34,1,0,0,0,0,1,0,4,Jeremie Rehak,J.Paxton (5-61) N.Vincent (3-W) J.Nicasio (3-H) E.Diaz (0-Sv)
11,11,Apr 13,,OAK,W7-4,9.0,8,4,4,0,4,7,3,0,4.88,38,150,87,0,0,0,0,34,0,0,0,0,0,1,1,4,Carlos Torres,M.Leake (5-48) D.Altavilla (2-W) J.Nicasio (1) E.Diaz (1-Sv)
12,12,Apr 14,,OAK,W10-8,9.0,10,8,8,0,3,11,3,1,5.14,40,176,112,3,1,0,0,36,2,0,0,0,0,0,1,7,Kerwin Danley,M.Gonzales (4-38) C.Bradford (4-W) D.Altavilla (0) M.Rzepczynski (6) N.Vincent (2) J.Nicasio (0-H) E.Diaz (0-Sv)
13,13,Apr 15,,OAK,L1-2,9.0,7,2,2,0,0,10,1,3,4.89,36,125,78,3,0,0,0,33,1,0,0,0,0,0,1,4,Scott Barry,F.Hernandez (4-62-L) J.Pazos (4) C.Bradford (0) N.Vincent (0)
14,14,Apr 16,,HOU,W2-1,9.0,3,1,1,0,4,10,1,0,4.61,34,148,90,0,0,1,0,30,0,0,0,0,0,0,0,4,Brian Gorman,J.Paxton (4-66-W) N.Vincent (0-H) J.Nicasio (1-H) E.Diaz (1-Sv)
15,15,Apr 17,,HOU,L1-4,9.0,9,4,4,0,5,8,1,1,4.57,41,150,86,1,1,0,0,34,1,0,0,0,1,0,0,4,Sean Barber,A.Miranda (99-52) D.Altavilla (2-L) C.Bradford (1) W.LeBlanc (12)
16,16,Apr 18,,HOU,L1-7,9.0,12,7,6,1,1,10,0,1,4.66,40,145,95,4,2,0,0,38,6,0,0,0,0,1,2,4,Adrian Johnson,M.Leake (4-44-L) N.Vincent (1) J.Pazos (2) C.Bradford (0)
17,17,Apr 19,,HOU,L2-9,9.0,12,9,9,0,5,11,2,0,4.92,40,166,103,2,2,1,0,34,3,0,0,0,1,0,1,4,Tripp Gibson,M.Gonzales (4-49-L) D.Altavilla (1) M.Rzepczynski (4) W.LeBlanc (1)
18,18,Apr 20,@,TEX,W6-2,9.0,6,2,2,0,3,11,0,2,4.75,36,150,91,4,1,0,0,31,1,0,0,0,0,0,2,5,Eric Cooper,F.Hernandez (4-55) M.Rzepczynski (0) N.Vincent (1) J.Nicasio (3-W) E.Diaz (3)
19,19,Apr 21,@,TEX,W9-7,9.0,10,7,7,0,8,9,0,1,4.88,47,207,132,2,0,1,0,36,6,0,0,1,1,1,0,5,Gary Cederstrom,J.Paxton (4-33) C.Bradford (2-W) D.Altavilla (1-H) M.Rzepczynski (0-H) E.Diaz (0-Sv)
20,20,Apr 22,@,TEX,L4-7,8.0,8,7,7,0,3,4,2,1,5.01,36,111,72,1,0,0,0,32,3,0,1,0,0,0,0,3,Jansen Visconti,E.Ramirez (99-34-L) J.Pazos (3) N.Vincent (1)
21,21,Apr 23,@,CHW,L4-10,8.0,18,10,10,0,0,7,3,0,5.28,41,136,95,1,0,2,0,41,3,2,0,0,0,0,0,2,Chad Fairchild,M.Leake (4-5-L) W.LeBlanc (3)
22,22,Apr 24,@,CHW,W1-0,9.0,5,0,0,0,1,12,0,0,5.04,33,120,92,2,0,0,2,32,1,0,0,0,0,2,1,5,Mike Estabrook,M.Gonzales (4-69-W) D.Altavilla (2-H) M.Rzepczynski (2-H) J.Nicasio (3-H) E.Diaz (2-Sv)
