Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,@,LAD,W1-0,36,34,1,8,2,0,1,1,2,0,11,0,0,0,0,1,0,0,.235,.278,.382,.660,8,15,L,C.Kershaw (57)
2,2,Mar 30,@,LAD,W1-0,32,31,1,2,0,0,1,1,0,0,5,0,1,0,4,0,0,0,.154,.179,.277,.456,4,12,L,A.Wood (85)
3,3,Mar 31,@,LAD,L0-5,37,34,0,9,1,0,0,0,3,0,11,0,0,0,0,2,1,0,.192,.231,.283,.514,10,16,R,K.Maeda (66)
4,4,Apr 1,@,LAD,L0-9,35,31,0,6,2,0,0,0,3,1,7,0,1,0,0,1,1,0,.192,.239,.277,.516,8,13,L,R.Hill (64)
5,5,Apr 3,,SEA,L4-6,34,33,4,9,1,0,2,4,0,0,4,0,0,1,0,2,0,0,.209,.244,.319,.563,3,15,L,M.Gonzales (51)
6,6,Apr 4,,SEA,W10-1,43,34,10,12,0,0,4,9,7,0,4,0,1,1,0,0,0,0,.234,.285,.386,.671,9,15,R,F.Hernandez (14)
7,7,Apr 7,,LAD,W7-5,57,55,7,17,3,0,2,7,2,1,18,0,0,0,0,0,2,1,.250,.295,.405,.700,11,21,L,R.Hill (44)
8,8,Apr 8,,LAD,L1-2,36,36,1,8,2,0,0,1,0,0,9,0,0,0,0,1,1,0,.247,.287,.389,.676,5,17,L,C.Kershaw (67)
9,9,Apr 9,,ARI,L1-2,30,30,1,5,1,0,0,1,0,0,12,0,0,0,0,2,0,0,.239,.276,.371,.647,2,13,R,Z.Godley (78)
10,10,Apr 10,,ARI,W5-4,39,29,5,8,0,0,0,4,7,2,12,0,1,2,0,0,4,0,.242,.288,.363,.651,9,16,L,P.Corbin (53)
11,11,Apr 11,,ARI,L3-7,36,32,3,6,1,0,1,3,4,1,10,0,0,0,0,1,0,0,.237,.287,.359,.646,6,15,L,R.Ray (45)
12,12,Apr 12,@,SDP,W7-0,46,36,7,10,2,0,0,5,8,0,7,1,1,0,1,0,0,0,.241,.300,.357,.657,12,12,R,B.Mitchell (36)
13,13,Apr 13,@,SDP,L1-5,37,35,1,10,0,0,0,1,1,0,8,1,0,0,1,2,0,0,.244,.302,.351,.653,9,13,R,T.Ross (60)
14,14,Apr 14,@,SDP,L4-5,37,34,4,9,1,2,2,4,3,0,11,0,0,0,0,0,0,1,.246,.304,.368,.672,6,17,L,C.Richard (37)
15,15,Apr 15,@,SDP,L1-10,34,32,1,7,2,0,0,1,1,0,12,0,0,1,0,1,0,0,.244,.300,.362,.662,6,16,L,J.Lucchesi (67)
16,16,Apr 17,@,ARI,L0-1,29,28,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,.233,.288,.346,.634,2,12,L,P.Corbin (92)
17,17,Apr 18,@,ARI,W4-3,43,37,4,9,1,0,2,4,5,0,13,1,0,0,0,1,1,1,.234,.292,.351,.644,9,14,L,R.Ray (60)
18,18,Apr 19,@,ARI,L1-3,32,31,1,5,1,0,1,1,1,0,6,0,0,0,0,0,0,1,.230,.287,.348,.635,4,13,R,Z.Greinke (68)
19,19,Apr 20,@,LAA,W8-1,39,36,8,9,3,0,3,8,2,0,10,1,0,0,1,1,0,0,.231,.289,.361,.650,4,10,L,A.Heaney (27)
20,20,Apr 21,@,LAA,L3-4,37,34,3,7,1,0,1,3,3,1,17,0,0,0,0,0,0,1,.230,.288,.359,.647,7,11,R,G.Richards (64)
21,21,Apr 22,@,LAA,W4-2,41,39,4,13,0,0,2,3,2,0,9,0,0,0,0,1,1,0,.236,.292,.366,.658,10,10,R,J.Barria (38)
22,22,Apr 23,,WSN,W4-2,34,31,4,6,3,0,1,4,3,0,7,0,0,0,0,0,0,0,.234,.291,.367,.658,6,13,L,G.Gonzalez (48)
23,23,Apr 24,,WSN,W4-3,34,30,4,7,0,0,2,3,3,0,4,1,0,0,0,0,0,0,.234,.292,.370,.661,6,14,R,T.Roark (46)
24,24,Apr 25,,WSN,L2-15,38,34,2,7,3,1,0,2,3,0,11,1,0,0,0,0,0,0,.233,.292,.369,.661,9,17,R,M.Scherzer (62)
25,25,Apr 27,,LAD,W6-4,36,32,6,9,1,0,2,5,3,0,9,0,0,1,0,0,0,0,.235,.293,.374,.667,6,17,L,H.Ryu (60)
26,26,Apr 28 (1),,LAD,L6-15,42,39,6,12,0,0,2,5,3,0,10,0,0,0,0,0,2,0,.238,.296,.378,.674,9,16,R,W.Buehler (52)
27,27,Apr 28 (2),,LAD,W8-3,37,33,8,9,2,0,0,8,4,1,7,0,0,0,1,1,0,0,.239,.298,.376,.674,5,14,L,A.Wood (47)
28,28,Apr 29,,LAD,W4-2,33,28,4,6,2,1,1,4,5,0,5,0,0,0,0,1,0,1,.238,.299,.379,.678,5,13,R,K.Maeda (45)
29,29,Apr 30,,SDP,W6-5,42,36,6,10,2,1,0,6,5,0,10,1,0,0,1,0,2,0,.240,.302,.379,.682,10,18,L,E.Lauer (46)
30,30,May 1,,SDP,L2-3,38,33,2,6,2,0,0,2,5,0,10,0,0,0,0,0,1,0,.238,.302,.375,.677,9,14,R,T.Ross (66)
31,31,May 2,,SDP,W9-4,44,38,9,14,5,0,1,9,4,0,8,1,0,1,1,0,0,0,.243,.307,.382,.689,11,17,L,C.Richard (22)
32,32,May 4,@,ATL,W9-4,43,39,9,13,2,1,2,9,4,0,7,0,0,0,0,1,0,0,.246,.310,.389,.700,7,14,R,M.Foltynewicz (27)
33,33,May 5,@,ATL,W11-2,46,42,11,18,4,0,1,11,2,0,8,1,1,0,0,1,0,0,.253,.316,.397,.713,8,14,R,B.McCarthy (5)
34,34,May 6,@,ATL,W4-3,41,34,4,10,2,0,0,4,5,1,8,0,1,1,0,2,1,0,.254,.318,.396,.713,10,15,R,M.Soroka (32)
35,35,May 7,@,PHI,L0-11,36,32,0,6,1,0,0,0,4,0,12,0,0,0,0,1,0,0,.252,.317,.391,.708,9,15,R,Z.Eflin (72)
36,36,May 8,@,PHI,L2-4,33,32,2,6,1,0,1,2,1,0,17,0,0,0,0,0,1,0,.250,.314,.389,.703,4,12,R,A.Nola (75)
37,37,May 9,@,PHI,L3-11,38,34,3,9,2,0,0,3,3,0,11,0,0,1,0,1,0,0,.251,.314,.387,.701,8,14,R,N.Pivetta (66)
38,38,May 10,@,PHI,L3-6,33,32,3,5,1,0,2,3,1,0,15,0,0,0,0,0,0,0,.248,.311,.387,.698,3,14,R,V.Velasquez (61)
39,39,May 11,@,PIT,L2-11,41,36,2,9,2,0,0,2,4,0,14,1,0,0,1,1,1,0,.249,.312,.385,.697,12,16,R,J.Taillon (61)
40,40,May 12,@,PIT,L5-6,41,35,5,10,4,0,2,5,5,0,8,0,0,1,0,0,0,1,.249,.313,.389,.703,9,14,R,C.Kuhl (50)
41,41,May 13,@,PIT,W5-0,40,39,5,13,3,0,2,5,1,0,7,0,0,0,0,1,0,0,.252,.314,.394,.709,8,14,R,I.Nova (39)
42,42,May 14,,CIN,W10-7,44,39,10,14,7,0,1,10,4,1,6,0,1,0,1,0,2,0,.255,.317,.400,.717,10,14,R,S.Romano (17)
43,43,May 15,,CIN,W5-3,36,35,5,11,1,0,1,5,1,0,8,0,0,0,0,0,0,0,.256,.317,.401,.718,7,17,R,T.Mahle (31)
44,44,May 16,,CIN,L3-6,39,36,3,12,3,0,1,3,2,0,10,0,0,1,0,2,0,0,.258,.318,.403,.722,9,14,R,M.Harvey (41)
45,45,May 17,,COL,L3-5,46,41,3,7,3,0,1,3,4,0,13,0,0,1,0,0,1,1,.256,.316,.401,.717,7,19,R,C.Bettis (53)
46,46,May 18,,COL,L1-6,32,30,1,5,0,0,1,1,2,0,9,0,0,0,0,2,0,0,.254,.314,.398,.713,4,14,L,K.Freeland (64)
47,47,May 19,,COL,W9-4,43,41,9,17,4,1,1,9,2,0,12,0,0,0,0,0,0,0,.258,.318,.404,.722,10,16,R,J.Gray (26)
48,48,May 20,,COL,W9-5,40,34,9,13,0,2,3,9,3,0,5,1,1,1,0,0,0,1,.261,.320,.412,.732,7,17,L,T.Anderson (39)
49,49,May 22,@,HOU,L2-11,35,31,2,7,1,0,1,2,4,0,10,0,0,0,0,2,0,1,.260,.320,.411,.731,6,10,R,G.Cole (61)
50,50,May 23,@,HOU,L1-4,34,32,1,6,1,1,0,1,1,0,13,0,0,1,0,0,0,0,.259,.318,.408,.726,6,9,R,J.Verlander (70)
51,51,May 25,@,CHC,L2-6,34,31,2,4,0,0,1,2,3,0,11,0,0,0,0,0,0,0,.256,.316,.405,.721,5,13,R,K.Hendricks (74)
52,52,May 26,@,CHC,W5-4,41,35,5,11,5,0,1,5,5,1,13,0,0,1,0,1,0,1,.257,.317,.408,.725,9,16,L,J.Quintana (41)
53,53,May 27,@,CHC,L3-8,43,35,3,9,0,0,0,3,8,0,8,0,0,0,1,2,0,0,.257,.319,.405,.724,13,15,R,T.Chatwood (32)
54,54,May 28,@,COL,L5-6,45,42,5,12,2,0,1,5,2,0,3,1,0,0,1,1,1,0,.258,.319,.405,.724,10,17,R,C.Bettis (34)
55,55,May 29,@,COL,L4-11,37,36,4,12,3,0,3,4,1,0,5,0,0,0,0,3,1,0,.259,.320,.410,.730,6,16,L,K.Freeland (43)
56,56,May 30,@,COL,W7-4,42,36,7,11,2,1,0,6,3,0,10,1,2,0,0,1,0,0,.260,.321,.410,.731,8,15,R,J.Gray (34)
57,57,Jun 1,,PHI,W4-0,38,32,4,9,1,1,0,3,3,0,8,1,2,0,1,0,0,0,.261,.322,.409,.731,10,15,R,N.Pivetta (40)
58,58,Jun 2,,PHI,W2-0,32,30,2,7,2,0,0,2,1,0,12,0,0,1,0,1,0,0,.260,.321,.408,.728,6,12,R,V.Velasquez (67)
59,59,Jun 3,,PHI,W6-1,31,31,6,11,1,0,2,6,0,0,5,0,0,0,0,2,0,1,.262,.321,.410,.732,1,14,R,J.Arrieta (40)
60,60,Jun 4,,ARI,W10-3,39,34,10,11,3,0,4,9,3,1,8,2,0,0,1,2,0,0,.263,.323,.416,.739,5,16,R,Z.Godley (23)
61,61,Jun 5,,ARI,L2-3,40,35,2,8,3,0,0,2,5,0,9,0,0,0,0,0,0,0,.262,.323,.415,.737,11,15,L,P.Corbin (66)
62,62,Jun 6,,ARI,W5-4,40,38,5,11,2,1,2,5,2,0,12,0,0,0,0,2,0,0,.263,.323,.417,.740,6,17,R,C.Buchholz (56)
63,63,Jun 8,@,WSN,W9-5,42,40,9,15,5,1,2,9,0,0,7,1,0,1,0,0,1,0,.265,.324,.422,.746,6,17,R,S.Strasburg (36)
