Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,@,NYM,L4-9,34,33,4,6,1,0,2,4,1,0,15,0,0,0,0,0,0,0,.182,.206,.394,.600,3,15,R,N.Syndergaard (54)
2,2,Mar 31,@,NYM,L2-6,37,34,2,7,0,0,1,2,3,0,12,0,0,0,0,0,0,0,.194,.239,.343,.583,8,15,R,J.deGrom (63)
3,3,Apr 1,@,NYM,W5-1,42,34,5,9,1,0,3,5,7,0,8,1,0,0,0,2,2,0,.218,.301,.416,.717,10,15,L,S.Matz (43)
4,4,Apr 2,@,MIL,W8-4,40,37,8,13,1,0,2,8,1,0,8,1,0,1,0,0,0,2,.254,.320,.449,.770,5,15,R,Z.Davies (33)
5,5,Apr 3,@,MIL,L4-5,39,37,4,10,1,0,3,4,1,0,7,1,0,0,1,1,2,0,.257,.318,.469,.786,8,16,R,C.Anderson (35)
6,6,Apr 4,@,MIL,W6-0,39,34,6,9,2,0,1,5,4,0,9,0,0,1,0,1,0,0,.258,.320,.459,.780,6,12,R,J.Chacin (40)
7,7,Apr 5,,ARI,L1-3,34,29,1,2,1,0,0,1,5,0,13,0,0,0,1,1,0,0,.235,.306,.416,.722,6,16,L,R.Ray (68)
8,8,Apr 7,,ARI,W5-3,34,33,5,10,1,0,1,5,0,0,9,0,0,1,0,0,0,0,.244,.304,.417,.721,5,14,R,Z.Greinke (34)
9,9,Apr 8,,ARI,L1-4,32,30,1,5,0,0,0,1,2,0,6,0,0,0,0,1,0,0,.236,.296,.392,.688,4,15,R,T.Walker (63)
10,10,Apr 9,,MIL,L4-5,41,35,4,8,2,0,0,4,4,0,10,0,1,1,1,0,0,0,.235,.296,.381,.677,7,18,R,J.Chacin (40)
11,11,Apr 10,,MIL,W5-3,48,37,5,9,0,0,1,4,8,1,8,1,2,0,1,1,1,0,.236,.307,.375,.682,13,17,L,B.Suter (57)
12,12,Apr 11,,MIL,L2-3,34,32,2,7,1,0,1,2,2,0,9,0,0,0,0,1,0,1,.235,.304,.373,.677,5,13,R,J.Guerra (58)
13,13,Apr 12,@,CIN,W13-4,52,39,13,13,2,0,4,13,11,0,8,1,0,1,1,1,0,0,.243,.322,.401,.723,12,14,R,S.Romano (35)
14,14,Apr 13,@,CIN,W5-3,40,38,5,13,2,0,2,5,2,1,9,0,0,0,2,2,1,1,.251,.326,.413,.739,8,14,R,T.Mahle (35)
15,15,Apr 14,@,CIN,W6-1,40,33,6,8,3,0,2,6,5,0,9,1,0,1,0,1,3,0,.250,.328,.419,.747,7,12,L,B.Finnegan (31)
16,16,Apr 15,@,CIN,W3-2,31,29,3,5,1,0,1,3,2,0,6,0,0,0,0,0,0,2,.246,.322,.414,.736,1,13,R,H.Bailey (59)
17,17,Apr 17,@,CHC,W5-3,44,34,5,7,1,0,1,5,10,0,14,0,0,0,0,0,0,0,.244,.327,.408,.735,12,17,R,T.Chatwood (54)
18,18,Apr 19,@,CHC,L5-8,38,32,5,5,0,0,0,3,4,0,11,2,0,0,0,0,1,0,.239,.325,.395,.720,6,17,L,J.Lester (72)
19,19,Apr 20,,CIN,W4-2,39,31,4,8,3,0,0,4,7,1,7,0,0,1,0,0,1,0,.240,.328,.393,.721,11,12,L,B.Finnegan (31)
20,20,Apr 21,,CIN,W4-3,34,32,4,8,2,0,3,4,2,1,5,0,0,0,1,0,1,0,.241,.326,.403,.729,6,14,R,H.Bailey (45)
21,21,Apr 22,,CIN,W9-2,41,32,9,12,3,0,2,9,7,0,6,0,0,2,0,1,1,0,.247,.333,.414,.748,8,13,R,L.Castillo (40)
22,22,Apr 24,,NYM,L5-6,43,38,5,10,4,0,1,5,4,0,9,1,0,0,0,2,0,0,.248,.334,.416,.750,8,18,R,Z.Wheeler (35)
23,23,Apr 25,,NYM,W9-1,38,31,9,7,1,0,1,8,2,0,7,2,2,1,2,0,0,0,.247,.333,.413,.746,5,13,L,S.Matz (31)
24,24,Apr 26,,NYM,W4-3,50,47,4,11,3,0,0,4,2,0,11,1,0,0,1,1,0,1,.246,.330,.407,.737,9,20,R,N.Syndergaard (67)
25,25,Apr 27,@,PIT,L5-6,44,37,5,7,3,0,1,5,5,0,11,0,1,1,1,0,0,1,.244,.328,.404,.732,6,18,L,S.Brault (36)
26,26,Apr 28,@,PIT,L2-6,35,31,2,5,2,0,0,2,2,0,5,0,2,0,1,0,0,0,.241,.324,.398,.722,6,14,R,T.Williams (56)
27,27,Apr 29,@,PIT,L0-5,30,29,0,3,1,0,0,0,1,0,11,0,0,0,0,0,0,0,.236,.319,.390,.709,3,13,R,N.Kingham (84)
28,28,May 1,,CHW,W3-2,32,29,3,7,2,0,2,3,2,0,5,0,1,0,0,1,1,1,.237,.318,.394,.712,4,16,R,J.Shields (68)
29,29,May 2,,CHW,W3-2,29,25,3,4,0,0,2,3,3,0,7,1,0,0,0,1,1,1,.235,.317,.394,.711,2,12,R,L.Giolito (58)
30,30,May 4,,CHC,W3-2,36,31,3,9,0,0,1,3,5,0,7,0,0,0,1,2,0,0,.236,.319,.394,.713,9,15,L,J.Quintana (46)
31,31,May 5,,CHC,W8-6,44,34,8,7,2,0,1,7,7,0,9,2,0,1,1,0,2,0,.235,.321,.392,.713,9,20,R,T.Chatwood (42)
32,32,May 6,,CHC,W4-3,56,47,4,10,1,1,2,4,8,1,13,1,0,0,0,3,0,1,.234,.322,.393,.715,11,20,L,J.Lester (48)
33,33,May 7,,MIN,L0-6,34,29,0,4,1,0,0,0,3,0,12,1,1,0,0,1,0,0,.232,.319,.387,.707,7,13,R,F.Romero (72)
34,34,May 8,,MIN,L1-7,30,27,1,2,0,0,1,1,2,0,7,0,1,0,0,0,0,1,.228,.315,.382,.698,2,14,R,J.Odorizzi (60)
35,35,May 10,@,SDP,W2-1,34,32,2,8,0,0,1,2,1,0,11,0,0,1,0,1,1,1,.229,.314,.381,.696,5,13,R,J.Lyles (56)
36,36,May 11,@,SDP,W9-5,44,37,9,13,0,0,5,9,5,0,3,0,2,0,0,0,0,1,.232,.318,.393,.711,8,15,L,E.Lauer (18)
37,37,May 12,@,SDP,L1-2,52,47,1,9,1,0,0,1,4,0,14,1,0,0,0,1,0,0,.231,.316,.386,.702,12,20,R,T.Ross (67)
38,38,May 13,@,SDP,L3-5,35,31,3,6,0,1,1,3,3,0,12,1,0,0,0,2,1,0,.230,.315,.385,.701,5,13,L,C.Richard (73)
39,39,May 15,@,MIN,L1-4,31,29,1,2,0,0,0,1,1,0,12,1,0,0,0,0,0,0,.226,.311,.378,.690,3,11,R,J.Berrios (79)
