Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,,HOU,L1-4,9.0,6,4,4,0,6,13,2,0,4.00,37,145,85,1,0,0,0,30,2,0,0,0,1,0,2,5,Jerry Meals,C.Hamels (99-50-L) J.Leclerc (99) C.Martin (99) M.Bush (99) K.Jepsen (99)
2,2,Mar 30,,HOU,W5-1,9.0,5,1,1,0,5,6,0,0,2.50,36,138,83,3,0,0,0,31,2,0,0,0,0,1,3,5,Ron Kulpa,D.Fister (99-55-W) C.Martin (0-H) A.Claudio (99-H) K.Jepsen (0) K.Kela (99)
3,3,Mar 31,,HOU,L3-9,9.0,14,9,9,0,4,9,2,0,4.67,45,183,112,2,1,0,0,40,4,0,0,0,1,0,0,6,Ed Hickox,M.Moore (99-38-L) N.Gardewine (99) J.Chavez (99) J.Diekman (99) J.Leclerc (1) M.Bush (1)
4,4,Apr 1,,HOU,L2-8,9.0,13,8,8,0,2,11,0,1,5.50,43,181,123,2,2,2,0,39,5,1,0,0,1,0,0,5,Gabe Morales,M.Minor (99-53-L) C.Martin (1) A.Claudio (1) K.Jepsen (1) N.Gardewine (0)
5,5,Apr 2,@,OAK,L1-3,8.0,9,3,3,0,3,7,1,0,5.11,34,129,85,2,2,0,0,31,2,0,0,0,0,0,1,4,D.J. Reyburn,B.Colon (99-57) K.Jepsen (0-L) J.Diekman (1) M.Bush (1)
6,6,Apr 3,@,OAK,W4-1,9.0,8,1,1,0,3,13,1,1,4.42,38,154,91,0,0,1,0,34,1,0,0,0,0,0,1,4,Sam Holbrook,C.Hamels (4-63-W) A.Claudio (1-H) C.Martin (1-H) K.Kela (3-Sv)
7,7,Apr 4,@,OAK,L2-6,8.0,9,6,3,3,5,10,0,1,4.28,38,152,86,4,0,1,0,31,4,0,0,0,1,1,0,3,Ryan Blakney,D.Fister (4-36-L) J.Chavez (3) J.Leclerc (3)
8,8,Apr 5,@,OAK,W6-3,9.0,12,3,3,0,2,5,0,1,4.11,40,142,89,4,1,0,0,35,1,0,0,0,2,0,1,6,Jim Wolf,M.Perez (99-37-W) K.Jepsen (2-H) M.Bush (2-H) J.Diekman (2-H) C.Martin (1-H) K.Kela (1-Sv)
9,9,Apr 6,,TOR,L5-8,9.0,9,8,7,1,6,7,2,1,4.44,43,170,94,2,2,0,0,34,1,0,0,0,2,0,0,4,John Tumpane,M.Moore (5-25-L) J.Chavez (1) M.Bush (0) A.Claudio (2)
10,10,Apr 7,,TOR,W5-1,9.0,2,1,1,0,3,9,1,0,4.09,30,129,77,0,0,0,0,27,0,1,0,0,0,0,2,3,Mark Wegner,M.Minor (5-69-W) K.Jepsen (1) J.Diekman (1)
11,11,Apr 8,,TOR,L4-7,9.0,11,7,5,2,2,10,2,0,4.18,39,147,101,1,1,0,0,37,1,0,0,0,0,2,2,4,Jim Reynolds,C.Hamels (4-31-L) C.Martin (2) B.Colon (5) A.Claudio (1)
12,12,Apr 9,,LAA,L3-8,9.0,13,8,7,1,2,7,1,1,4.42,43,162,100,5,2,0,0,40,1,0,0,0,0,1,1,6,Angel Hernandez,D.Fister (4-48-L) A.Claudio (0) M.Bush (2) J.Diekman (1) K.Jepsen (1) K.Kela (3)
13,13,Apr 10,,LAA,L1-11,9.0,18,11,11,0,4,6,2,0,4.93,46,174,99,2,2,0,0,41,1,0,0,0,1,0,2,3,Todd Tichenor,M.Perez (4-7-L) J.Chavez (3) B.Colon (1)
14,14,Apr 11,,LAA,L2-7,9.0,9,7,5,2,6,2,0,2,4.94,43,164,94,3,2,3,0,34,0,2,0,0,1,1,1,6,Alan Porter,M.Moore (4-40-L) M.Bush (1) J.Diekman (1) C.Martin (2) T.Barnette (99) A.Claudio (1)
15,15,Apr 13,@,HOU,L2-3,8.0,8,3,2,1,3,9,2,0,4.77,36,141,86,1,0,1,0,33,0,0,0,0,0,1,0,4,Phil Cuzzi,C.Hamels (4-57) C.Martin (1) K.Jepsen (3-L) J.Diekman (1)
16,16,Apr 14,@,HOU,W6-5,10.0,8,5,5,0,3,7,1,1,4.75,42,183,114,2,0,0,0,38,2,0,0,0,0,1,1,6,Tom Hallion,M.Minor (6-38) T.Barnette (2) M.Bush (2) K.Kela (4-W) C.Martin (0-H) A.Claudio (2-Sv)
17,17,Apr 15,@,HOU,W3-1,10.0,3,1,1,0,2,10,0,0,4.50,36,148,96,1,0,1,0,33,1,0,0,0,1,1,0,4,Adam Hamari,B.Colon (4-79) A.Claudio (0) K.Kela (0-W) J.Diekman (1-Sv)
