Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,,NYY,L1-6,32,29,1,2,0,0,1,1,3,0,12,0,0,0,0,0,1,0,.069,.156,.172,.329,4,10,R,L.Severino (71)
2,2,Mar 30,,NYY,L2-4,33,32,2,5,4,0,1,2,1,0,12,0,0,0,0,0,0,0,.115,.169,.279,.448,4,12,R,M.Tanaka (70)
3,3,Mar 31,,NYY,W5-3,36,32,5,9,2,0,1,4,4,0,9,0,0,0,1,1,4,1,.172,.238,.333,.571,7,10,L,C.Sabathia (53)
4,4,Apr 1,,NYY,W7-4,40,35,7,12,1,0,2,7,5,1,12,0,0,0,0,0,0,0,.219,.291,.391,.681,9,11,R,S.Gray (49)
5,5,Apr 2,,CHW,W4-2,32,28,4,4,0,0,3,4,4,0,6,0,0,0,1,1,0,0,.205,.283,.404,.687,4,9,R,R.Lopez (68)
6,6,Apr 3,,CHW,W14-5,45,38,14,15,7,1,2,13,5,1,6,1,0,1,1,0,0,0,.242,.321,.479,.800,7,10,R,M.Gonzalez (31)
7,7,Apr 4,,CHW,L3-4,35,34,3,6,2,0,0,3,1,0,10,0,0,0,1,0,0,0,.232,.304,.443,.747,5,10,R,C.Fulmer (53)
8,8,Apr 6,@,TEX,W8-5,43,34,8,9,1,0,2,7,6,0,7,1,0,2,0,0,0,0,.237,.314,.447,.761,8,11,L,M.Moore (25)
9,9,Apr 7,@,TEX,L1-5,30,27,1,2,0,1,1,1,3,0,9,0,0,0,0,2,0,0,.221,.301,.429,.730,2,9,L,M.Minor (69)
10,10,Apr 8,@,TEX,W7-4,39,37,7,11,1,0,2,7,2,0,10,0,0,0,2,2,0,0,.230,.304,.436,.740,5,10,L,C.Hamels (31)
11,11,Apr 9,@,BAL,W7-1,41,35,7,10,1,0,2,7,5,0,11,1,0,0,0,1,0,0,.235,.313,.440,.753,7,11,R,D.Bundy (69)
12,12,Apr 10,@,BAL,W2-1,40,34,2,7,0,0,1,1,5,0,7,1,0,0,1,0,0,1,.233,.314,.428,.742,11,10,R,A.Cashner (72)
13,13,Apr 11,@,BAL,L3-5,37,34,3,7,1,0,1,3,3,0,9,0,0,0,0,0,0,0,.231,.311,.420,.730,7,10,R,K.Gausman (52)
14,14,Apr 13,@,CLE,W8-4,40,36,8,7,4,0,1,8,3,0,10,1,0,0,1,0,3,0,.228,.308,.417,.725,5,11,R,M.Clevinger (43)
15,15,Apr 17 (1),,KCR,W11-3,41,36,11,13,3,0,2,11,3,1,10,1,0,1,2,0,0,0,.238,.316,.431,.747,6,11,L,E.Skoglund (36)
16,16,Apr 17 (2),,KCR,W5-4,44,36,5,9,1,0,0,5,7,1,13,1,0,0,0,1,0,0,.238,.321,.421,.742,11,11,L,D.Duffy (73)
17,17,Apr 18,,KCR,W15-5,48,40,15,15,4,1,3,13,7,0,9,1,0,0,2,1,0,0,.248,.332,.444,.776,9,10,R,I.Kennedy (34)
18,18,Apr 19,@,NYY,L3-4,38,34,3,6,0,0,0,2,3,0,9,1,0,0,1,0,0,0,.244,.329,.429,.757,8,11,L,C.Sabathia (51)
19,19,Apr 20,@,NYY,W8-5,45,36,8,9,2,0,2,8,9,0,7,0,0,0,0,0,0,0,.244,.333,.431,.764,10,10,R,S.Gray (26)
20,20,Apr 21,@,NYY,L1-9,34,31,1,4,0,0,0,1,3,0,9,0,0,0,0,0,0,0,.239,.327,.417,.745,6,9,L,J.Montgomery (62)
21,21,Apr 22,@,NYY,L1-5,35,30,1,4,1,0,1,1,4,0,8,1,0,0,0,1,1,0,.234,.324,.411,.735,7,9,R,L.Severino (71)
22,22,Apr 24,,BOS,W4-3,37,34,4,5,2,0,1,4,3,0,11,0,0,0,0,0,0,0,.230,.320,.406,.725,5,11,R,R.Porcello (65)
23,23,Apr 25,,BOS,L3-4,35,34,3,6,1,0,1,2,1,0,5,0,0,0,1,0,1,0,.228,.315,.401,.716,5,10,L,E.Rodriguez (52)
24,24,Apr 26,,BOS,L4-5,38,32,4,6,2,1,2,4,4,0,8,1,0,1,0,0,0,0,.226,.314,.405,.718,7,12,L,C.Sale (54)
25,25,Apr 27,,TEX,L4-6,38,36,4,10,5,1,0,4,1,0,5,1,0,0,1,0,0,0,.229,.314,.408,.721,7,12,L,M.Minor (42)
26,26,Apr 28,,TEX,L4-7,35,34,4,7,1,1,3,4,1,0,4,0,0,0,0,0,0,0,.228,.311,.413,.724,4,10,R,B.Colon (55)
27,27,Apr 29,,TEX,W7-2,36,28,7,9,1,0,3,7,5,0,5,1,0,2,1,2,0,0,.231,.315,.422,.736,5,9,L,M.Perez (34)
28,28,Apr 30,@,MIN,W7-5,44,38,7,10,2,0,2,6,6,1,7,0,0,0,2,0,0,1,.232,.317,.424,.740,10,9,R,L.Lynn (28)
29,29,May 1,@,MIN,W7-4,47,38,7,10,3,0,2,5,7,2,12,1,0,1,0,1,3,0,.233,.319,.427,.746,10,10,R,K.Gibson (53)
30,30,May 2,@,MIN,L0-4,34,30,0,6,1,0,0,0,3,0,9,1,0,0,0,1,0,2,.232,.319,.421,.740,7,9,R,F.Romero (63)
31,31,May 3 (1),@,CLE,W13-11,59,49,13,17,6,0,3,13,9,0,14,1,0,0,1,0,2,0,.238,.325,.432,.757,13,12,R,C.Carrasco (30)
32,32,May 3 (2),@,CLE,L4-13,37,35,4,8,3,0,3,4,2,0,7,0,0,0,0,0,0,0,.237,.324,.436,.760,6,9,R,A.Plutko (60)
33,33,May 4,@,TBR,L2-6,33,31,2,4,1,0,1,2,1,0,9,0,0,1,1,0,0,0,.234,.319,.431,.751,4,10,R,A.Kittredge (48)
34,34,May 5,@,TBR,L3-5,33,32,3,7,1,0,2,3,1,0,8,0,0,0,0,2,0,0,.234,.317,.431,.749,3,9,R,J.Faria (61)
35,35,May 6,@,TBR,W2-1,35,34,2,7,2,0,0,1,1,0,8,0,0,0,0,0,1,0,.233,.315,.427,.742,6,10,R,C.Archer (69)
