"","Date","home","away","Rhome","Raway","BAa","PAa","ABa","Ha","B2Ba","B3Ba","BHRa","RBIa","BBBa","BSOa","SHa","SFa","SBa","BAh","PAh","ABh","Hh","B2Bh","B3Bh","BHRh","RBIh","BBBh","BSOh","SHh","SFh","SBh","P3Bh","P2Bh","PHRh","PSOh","PBBh","BFh","HHAh","RSAh","ERh","UERh","Pith","Strh","P3Ba","P2Ba","PHRa","PSOa","PBBa","BFa","HHAa","RSAa","ERa","UERa","Pita","Stra","PO_h","A_h","E_h","DP_h","PO_a","A_a","E_a","DP_a","rdiff"
"1","Mar 29","ARI","COL",8,2,0.273,36,33,9,0,0,2,2,2,12,1,0,0,0.333,42,36,12,2,1,0,8,6,11,0,0,2,0,0,2,12,2,36,9,2,2,0,147,92,1,2,0,11,6,42,12,8,8,0,169,103,1.0117444194819,2.1397463691639,-1.09224747261913,0.838522218378374,0.204385623071342,1.46831094688764,-1.15229735316558,1.37556099414584,6
"2","Mar 30","ARI","COL",9,8,0.275,41,36,10,1,0,3,8,5,11,0,0,1,0.294,38,32,8,1,1,1,9,5,9,0,0,1,0,1,3,11,5,41,10,8,7,1,157,99,1,1,1,9,5,38,8,9,9,0,155,96,1.0117444194819,2.1397463691639,-1.09224747261913,0.838522218378374,0.204385623071342,1.46831094688764,-1.15229735316558,1.37556099414584,1
"3","Mar 31","ARI","COL",1,2,0.245,33,33,6,1,0,2,2,0,11,0,0,1,0.258,34,29,5,1,0,0,1,5,8,0,0,0,0,1,2,11,0,33,6,2,2,0,143,99,0,1,0,8,5,34,5,1,0,1,140,86,1.0117444194819,2.1397463691639,-1.09224747261913,0.838522218378374,0.204385623071342,1.46831094688764,-1.15229735316558,1.37556099414584,-1
"4","Apr 2","ARI","LAD",8,7,0.238,71,61,19,2,0,2,7,8,11,2,0,0,0.26,63,53,14,4,2,1,8,10,11,0,0,0,0,2,2,11,8,71,19,7,7,0,280,173,2,4,1,11,10,63,14,8,8,0,250,150,1.0117444194819,2.1397463691639,-1.09224747261913,0.838522218378374,2.00185647437764,-0.581621533243044,0.41881610336059,-1.3662947552946,1
"5","Apr 3","ARI","LAD",6,1,0.224,32,29,4,2,0,0,1,1,4,1,1,0,0.257,38,33,8,0,0,3,6,5,8,0,0,0,0,2,0,4,1,32,4,1,1,0,123,76,0,0,3,8,5,38,8,6,6,0,154,96,1.0117444194819,2.1397463691639,-1.09224747261913,0.838522218378374,2.00185647437764,-0.581621533243044,0.41881610336059,-1.3662947552946,5
"6","Apr 4","ARI","LAD",3,0,0.202,31,28,1,1,0,0,0,3,15,0,0,0,0.257,29,27,7,4,0,0,3,0,7,1,1,2,0,1,0,15,3,31,1,0,0,0,134,82,0,4,0,7,0,29,7,3,3,0,111,77,1.0117444194819,2.1397463691639,-1.09224747261913,0.838522218378374,2.00185647437764,-0.581621533243044,0.41881610336059,-1.3662947552946,3
"7","Apr 5","STL","ARI",1,3,0.258,42,34,9,3,1,0,3,5,9,1,1,0,0.235,34,29,2,1,0,0,1,5,13,0,0,0,1,3,0,9,5,42,9,3,3,0,173,99,0,1,0,13,5,34,2,1,1,0,144,83,0.430212652193736,0.556948755449756,2.41375601379786,0.784768526250379,1.01451333070235,2.14077556999929,-1.09186991252996,0.837942219745755,-2
"8","Apr 7","STL","ARI",5,3,0.247,39,31,5,2,0,0,3,7,12,1,0,0,0.244,34,33,10,1,0,1,5,0,9,0,1,0,0,2,0,12,7,39,5,3,2,1,153,88,0,1,1,9,0,34,10,5,5,0,136,91,0.430212652193736,0.556948755449756,2.41375601379786,0.784768526250379,1.01451333070235,2.14077556999929,-1.09186991252996,0.837942219745755,2
"9","Apr 8","STL","ARI",1,4,0.244,35,33,7,0,0,2,4,2,9,0,0,1,0.236,32,30,5,0,0,0,1,2,6,0,0,0,0,0,2,9,2,35,7,4,4,0,157,95,0,0,0,6,2,32,5,1,1,0,125,79,0.430212652193736,0.556948755449756,2.41375601379786,0.784768526250379,1.01451333070235,2.14077556999929,-1.09186991252996,0.837942219745755,-3
"10","Apr 9","SFG","ARI",1,2,0.237,32,30,5,0,1,0,2,1,11,0,1,0,0.239,30,30,5,1,0,0,1,0,12,0,0,0,1,0,0,11,1,32,5,2,2,0,124,79,0,1,0,12,0,30,5,1,1,0,139,89,0.885324470071434,1.26161892593893,0.237615918780413,1.26855175540233,1.01451333070235,2.14077556999929,-1.09186991252996,0.837942219745755,-1
