,Date,home,away,Rhome,Raway,BAa,PAa,ABa,Ha,B2Ba,B3Ba,BHRa,RBIa,BBBa,BSOa,SHa,SFa,SBa,BAh,PAh,ABh,Hh,B2Bh,B3Bh,BHRh,RBIh,BBBh,BSOh,SHh,SFh,SBh,P3Bh,P2Bh,PHRh,PSOh,PBBh,BFh,HHAh,RSAh,ERh,UERh,Pith,Strh,P3Ba,P2Ba,PHRa,PSOa,PBBa,BFa,HHAa,RSAa,ERa,UERa,Pita,Stra,PO_h,A_h,E_h,DP_h,PO_a,A_a,E_a,DP_a,rdiff
4,2-Apr,ARI,LAD,8,7,0.238,71,61,19,2,0,2,7,8,11,2,0,0,0.26,63,53,14,4,2,1,8,10,11,0,0,0,0,2,2,11,8,71,19,7,7,0,280,173,2,4,1,11,10,63,14,8,8,0,250,150,1.011744419,2.139746369,-1.092247473,0.838522218,2.001856474,-0.581621533,0.418816103,-1.366294755,1
5,3-Apr,ARI,LAD,6,1,0.224,32,29,4,2,0,0,1,1,4,1,1,0,0.257,38,33,8,0,0,3,6,5,8,0,0,0,0,2,0,4,1,32,4,1,1,0,123,76,0,0,3,8,5,38,8,6,6,0,154,96,1.011744419,2.139746369,-1.092247473,0.838522218,2.001856474,-0.581621533,0.418816103,-1.366294755,5
6,4-Apr,ARI,LAD,3,0,0.202,31,28,1,1,0,0,0,3,15,0,0,0,0.257,29,27,7,4,0,0,3,0,7,1,1,2,0,1,0,15,3,31,1,0,0,0,134,82,0,4,0,7,0,29,7,3,3,0,111,77,1.011744419,2.139746369,-1.092247473,0.838522218,2.001856474,-0.581621533,0.418816103,-1.366294755,3
28,30-Apr,ARI,LAD,8,5,0.247,37,33,7,3,1,1,5,1,11,0,1,0,0.235,43,37,13,3,0,4,7,5,6,0,0,0,1,3,1,11,1,37,7,5,5,0,151,101,0,3,4,6,5,43,13,8,7,1,157,102,1.011744419,2.139746369,-1.092247473,0.838522218,2.001856474,-0.581621533,0.418816103,-1.366294755,3
29,1-May,ARI,LAD,4,3,0.244,38,30,4,1,0,1,3,7,7,0,0,0,0.237,37,34,10,0,1,2,4,3,9,0,0,3,0,1,1,7,7,38,4,3,2,1,159,95,1,0,2,9,3,37,10,4,4,0,137,89,1.011744419,2.139746369,-1.092247473,0.838522218,2.001856474,-0.581621533,0.418816103,-1.366294755,1
30,2-May,ARI,LAD,1,2,0.243,34,29,6,2,0,0,2,3,6,0,1,0,0.235,36,32,6,3,0,0,1,4,11,0,0,1,0,2,0,6,3,34,6,2,2,0,147,84,0,3,0,11,4,36,6,1,1,0,147,89,1.011744419,2.139746369,-1.092247473,0.838522218,2.001856474,-0.581621533,0.418816103,-1.366294755,-1
31,3-May,ARI,LAD,2,5,0.242,38,32,7,3,0,1,3,4,8,0,1,1,0.234,36,33,6,0,0,0,2,2,9,0,0,2,0,3,1,8,4,38,7,5,5,0,148,93,0,0,0,9,2,36,6,2,1,1,157,96,1.011744419,2.139746369,-1.092247473,0.838522218,2.001856474,-0.581621533,0.418816103,-1.366294755,-3
157,24-Sep,ARI,LAD,4,7,0.247,44,36,9,2,0,1,5,8,11,0,0,1,0.235,36,34,7,2,1,2,4,1,10,0,0,0,0,2,1,11,8,44,9,7,7,0,181,117,1,2,2,10,1,36,7,4,4,0,122,80,1.011744419,2.139746369,-1.092247473,0.838522218,2.001856474,-0.581621533,0.418816103,-1.366294755,-3
158,25-Sep,ARI,LAD,4,3,0.248,39,35,10,2,1,1,3,4,7,0,0,1,0.235,35,30,8,2,0,1,4,4,6,1,0,1,1,2,1,7,4,39,10,3,3,0,139,91,0,2,1,6,4,35,8,4,4,0,141,88,1.011744419,2.139746369,-1.092247473,0.838522218,2.001856474,-0.581621533,0.418816103,-1.366294755,1
159,26-Sep,ARI,LAD,7,2,0.248,37,35,9,1,0,0,2,2,8,0,0,0,0.236,36,32,10,1,1,3,7,4,8,0,0,0,0,1,0,8,2,37,9,2,2,0,144,93,1,1,3,8,4,36,10,7,7,0,135,85,1.011744419,2.139746369,-1.092247473,0.838522218,2.001856474,-0.581621533,0.418816103,-1.366294755,5
256,26-Jul,ATL,LAD,2,8,0.246,43,37,11,1,0,1,7,4,6,1,0,0,0.26,36,35,7,1,0,1,2,1,10,0,0,0,0,1,1,6,4,43,11,8,7,1,151,96,0,1,1,10,1,36,7,2,2,0,134,99,0.531348612,-0.538000279,-0.790005793,-0.12904424,2.001856474,-0.581621533,0.418816103,-1.366294755,-6
