,Date,home,away,Rhome,Raway,BAa,PAa,ABa,Ha,B2Ba,B3Ba,BHRa,RBIa,BBBa,BSOa,SHa,SFa,SBa,BAh,PAh,ABh,Hh,B2Bh,B3Bh,BHRh,RBIh,BBBh,BSOh,SHh,SFh,SBh,P3Bh,P2Bh,PHRh,PSOh,PBBh,BFh,HHAh,RSAh,ERh,UERh,Pith,Strh,P3Ba,P2Ba,PHRa,PSOa,PBBa,BFa,HHAa,RSAa,ERa,UERa,Pita,Stra,PO_h,A_h,E_h,DP_h,PO_a,A_a,E_a,DP_a,rdiff
13,13-Apr,LAD,ARI,7,8,0.238,40,36,10,3,0,2,6,3,14,0,1,0,0.238,41,37,11,1,0,2,7,3,8,0,0,0,0,3,2,14,3,40,10,8,5,3,176,121,0,1,2,8,3,41,11,7,7,0,146,93,1.997820025,-0.581364597,0.418960927,-1.365379159,1.014513331,2.14077557,-1.091869913,0.83794222,-1
14,14-Apr,LAD,ARI,1,9,0.241,38,36,10,2,0,4,9,2,7,0,0,0,0.238,36,34,8,3,0,0,1,2,5,0,0,0,0,2,4,7,2,38,10,9,9,0,149,101,0,3,0,5,2,36,8,1,1,0,164,102,1.997820025,-0.581364597,0.418960927,-1.365379159,1.014513331,2.14077557,-1.091869913,0.83794222,-8
15,15-Apr,LAD,ARI,7,2,0.233,33,32,4,2,0,1,2,1,14,0,0,0,0.239,40,32,8,2,0,1,7,7,13,0,1,0,0,2,1,14,1,33,4,2,2,0,133,91,0,2,1,13,7,40,8,7,6,1,164,101,1.997820025,-0.581364597,0.418960927,-1.365379159,1.014513331,2.14077557,-1.091869913,0.83794222,5
35,8-May,LAD,ARI,5,8,0.228,51,45,12,1,0,4,8,5,11,1,0,0,0.243,52,43,9,2,0,2,5,7,11,1,0,0,0,1,4,11,5,51,12,8,8,0,196,117,0,2,2,11,7,52,9,5,5,0,213,127,1.997820025,-0.581364597,0.418960927,-1.365379159,1.014513331,2.14077557,-1.091869913,0.83794222,-3
36,9-May,LAD,ARI,6,3,0.228,39,34,8,1,0,1,3,5,7,0,0,0,0.244,38,30,8,1,0,0,4,6,10,0,1,1,0,1,1,7,5,39,8,3,3,0,157,98,0,1,0,10,6,38,8,6,6,0,175,98,1.997820025,-0.581364597,0.418960927,-1.365379159,1.014513331,2.14077557,-1.091869913,0.83794222,3
134,30-Aug,LAD,ARI,1,3,0.239,39,37,10,1,0,1,3,0,12,0,0,0,0.245,34,32,8,0,0,1,1,2,15,0,0,0,0,1,1,12,0,39,10,3,3,0,148,109,0,0,1,15,2,34,8,1,1,0,154,96,1.997820025,-0.581364597,0.418960927,-1.365379159,1.014513331,2.14077557,-1.091869913,0.83794222,-2
135,31-Aug,LAD,ARI,3,2,0.239,32,31,6,1,0,1,2,0,7,1,0,0,0.245,32,29,6,1,0,2,3,1,6,1,0,0,0,1,1,7,0,32,6,2,2,0,120,78,0,1,2,6,1,32,6,3,3,0,110,76,1.997820025,-0.581364597,0.418960927,-1.365379159,1.014513331,2.14077557,-1.091869913,0.83794222,1
136,1-Sep,LAD,ARI,3,2,0.238,34,33,5,1,0,2,2,0,6,0,0,0,0.245,34,31,6,1,0,1,3,2,13,0,0,0,0,1,2,6,0,34,5,2,2,0,120,85,0,1,1,13,2,34,6,3,3,0,157,103,1.997820025,-0.581364597,0.418960927,-1.365379159,1.014513331,2.14077557,-1.091869913,0.83794222,1
137,2-Sep,LAD,ARI,3,2,0.238,37,30,5,1,0,1,2,6,12,0,1,0,0.244,36,29,5,1,0,1,3,5,9,1,0,0,0,1,1,12,6,37,5,2,2,0,148,97,0,1,1,9,5,36,5,3,3,0,147,90,1.997820025,-0.581364597,0.418960927,-1.365379159,1.014513331,2.14077557,-1.091869913,0.83794222,1
223,8-Jun,LAD,ATL,7,3,0.26,33,32,6,3,0,1,3,1,6,0,0,0,0.243,33,30,8,1,0,5,7,3,9,0,0,2,0,3,1,6,1,33,6,3,3,0,132,95,0,1,5,9,3,33,8,7,7,0,131,75,1.997820025,-0.581364597,0.418960927,-1.365379159,0.533500004,-0.538236719,-0.789732709,-0.129771574,4
