Tm,Opp,R,RA,Pit
CHC,CIN,16,0,Arrieta
CHC,ATL,13,2,Lester
CHC,SEA,12,1,Lester
CHC,STL,13,2,Arrieta
CHC,PIT,12,2,Hendricks
CHC,LAA,9,0,Arrieta
CHC,CIN,9,0,Hammel
CHC,STL,12,3,Hammel
CHC,ARI,14,6,Lackey
CHC,CIN,9,2,Lackey
CHC,CIN,8,1,Hammel
CHC,CIN,8,1,Lester
CHC,SFG,8,1,Arrieta
CHC,PHI,8,1,Lackey
CHC,CIN,9,2,Hendricks
CHC,CHW,8,1,Hammel
CHC,COL,9,2,Cahill
CHC,STL,7,0,Lester
CHC,CIN,9,2,Lackey
CHC,PIT,7,1,Arrieta
CHC,PIT,8,2,Arrieta
CHC,ARI,6,0,Lackey
CHC,ATL,8,2,Arrieta
CHC,PIT,6,0,Arrieta
CHC,CIN,10,4,Hendricks
CHC,TEX,6,0,Hendricks
CHC,LAA,6,1,Lester
CHC,STL,5,0,Lackey
CHC,MIL,7,2,Arrieta
CHC,ATL,6,1,Strop
CHC,PIT,7,2,Hammel
CHC,PIT,9,4,Hammel
CHC,PHI,7,2,Lackey
CHC,LAD,7,2,Hendricks
CHC,PIT,10,5,Hendricks
CHC,CIN,7,2,Patton
CHC,MIA,5,0,Hendricks
CHC,OAK,7,2,Lester
CHC,MIL,6,1,Lester
CHC,MIL,7,2,Hendricks
CHC,CIN,6,1,Lester
CHC,STL,5,0,Arrieta
CHC,ARI,7,3,Arrieta
CHC,COL,6,2,Arrieta
CHC,PIT,6,2,Lester
CHC,PHI,6,2,Lester
CHC,NYM,5,1,Lester
CHC,NYM,6,2,Hendricks
CHC,OAK,4,0,Arrieta
CHC,LAA,5,1,Lackey
CHC,MIL,4,0,Cahill
CHC,SDP,5,1,Lester
CHC,HOU,9,5,Arrieta
CHC,CIN,7,3,Buchanan
CHC,WSN,5,2,Hendricks
CHC,WSN,8,5,Warren
CHC,PHI,4,1,Hendricks
CHC,CIN,11,8,Arrieta
CHC,MIL,5,2,Hammel
CHC,MIL,4,1,Hammel
CHC,MIL,9,6,Arrieta
CHC,SDP,6,3,Hendricks
CHC,PIT,3,0,Hendricks
CHC,STL,4,1,Hendricks
CHC,CIN,5,2,Hammel
CHC,CIN,7,4,Grimm
CHC,ARI,4,2,Hendricks
CHC,CIN,5,3,Warren
CHC,WSN,8,6,Lackey
CHC,LAD,2,0,Wood
CHC,ARI,5,3,Hammel
CHC,PHI,6,4,Lester
CHC,TEX,3,1,Hammel
CHC,CHW,3,1,Lackey
CHC,OAK,3,1,Hendricks
CHC,LAA,3,1,Hammel
CHC,SDP,5,3,Arrieta
CHC,LAD,6,4,Wood
CHC,HOU,2,0,Lester
CHC,STL,3,1,Lester
CHC,PIT,6,4,Lackey
CHC,STL,2,1,Hammel
CHC,MIL,4,3,Warren
CHC,WSN,4,3,Wood
CHC,SDP,8,7,Lester
CHC,MIL,2,1,Wood
CHC,STL,9,8,Arrieta
CHC,LAD,2,1,Lester
CHC,WSN,4,3,Rondon
CHC,PIT,4,3,Lester
CHC,MIA,5,4,Cahill
CHC,PIT,6,5,Strop
CHC,MIL,6,5,Nathan
CHC,SEA,7,6,Rondon
CHC,MIA,3,2,Hammel
CHC,MIA,5,4,Grimm
CHC,STL,4,3,Montgomery
CHC,PIT,8,7,Zastryzny
CHC,PIT,6,5,Hammel
CHC,SFG,5,4,Smith
CHC,SFG,2,1,Lester
CHC,SFG,3,2,Cahill
CHC,MIL,5,4,Chapman
CHC,ARI,2,3,Cahill
CHC,ATL,3,4,Rondon
CHC,SDP,0,1,Lackey
CHC,PIT,1,2,Lester
CHC,SFG,0,1,Hendricks
CHC,STL,3,4,Warren
CHC,ARI,2,3,Arrieta
CHC,PHI,2,3,Hendricks
CHC,WSN,4,5,Cahill
CHC,STL,2,3,Lackey
CHC,STL,3,4,Hammel
CHC,NYM,3,4,Peralta
CHC,NYM,3,4,Arrieta
CHC,ATL,3,4,Patton
CHC,NYM,1,2,Rondon
CHC,CHW,4,5,Montgomery
CHC,COL,6,7,Chapman
CHC,LAD,2,3,Hammel
CHC,LAD,0,1,Cahill
CHC,SFG,2,3,Arrieta
CHC,MIL,1,2,Smith
CHC,HOU,1,2,Lackey
CHC,MIL,4,5,Grimm
CHC,COL,0,2,Lester
CHC,STL,3,5,Hendricks
CHC,MIL,2,4,Hendricks
CHC,MIL,3,5,Hammel
CHC,SFG,3,5,Lester
CHC,MIA,2,4,Strop
CHC,CIN,3,5,Cahill
CHC,STL,4,6,Rondon
CHC,STL,2,4,Hammel
CHC,MIL,1,3,Hendricks
CHC,SDP,4,7,Strop
CHC,WSN,1,4,Hendricks
CHC,MIA,6,9,Lackey
CHC,TEX,1,4,Lackey
CHC,CHW,0,3,Hendricks
CHC,SEA,1,4,Arrieta
CHC,CIN,4,7,Lester
CHC,ATL,1,5,Hammel
CHC,CIN,5,9,Lackey
CHC,PIT,4,8,Arrieta
CHC,STL,4,8,Edwards
CHC,PIT,4,8,Arrieta
CHC,COL,1,6,Hendricks
CHC,LAD,0,5,Richard
CHC,STL,2,7,Arrieta
CHC,MIA,1,6,Hammel
CHC,MIL,1,6,Lackey
CHC,PIT,6,12,Warren
CHC,STL,4,10,Hammel
CHC,COL,4,11,Hammel
CHC,MIL,5,12,Hammel
CHC,CIN,5,13,Lackey
CHC,NYM,2,10,Hammel
CHC,MIL,3,11,Arrieta
CHC,NYM,3,14,Lester
