Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Monday Apr 4,boxscore,CHC,@,LAA,W,9,0,,1-0,1,Tied,Arrieta,Richards,,3:08,N,44020,+,
2,Tuesday Apr 5,boxscore,CHC,@,LAA,W,6,1,,2-0,1,Tied,Lester,Heaney,,2:34,N,37042,++,
3,Thursday Apr 7,boxscore,CHC,@,ARI,W,14,6,,3-0,1,Tied,Lackey,De La Rosa,,3:29,N,24656,+++,
4,Friday Apr 8,boxscore,CHC,@,ARI,L-wo,2,3,,3-1,2,1.0,Ziegler,Cahill,,2:48,N,27539,-,
5,Saturday Apr 9,boxscore,CHC,@,ARI,W,4,2,,4-1,1,Tied,Hendricks,Greinke,Rondon,2:46,N,32185,+,
6,Sunday Apr 10,boxscore,CHC,@,ARI,W,7,3,,5-1,1,Tied,Arrieta,Miller,,3:21,D,33258,++,
7,Monday Apr 11,boxscore,CHC,,CIN,W,5,3,,6-1,1,up 1.0,Warren,Cingrani,Rondon,3:03,N,40882,+++,
8,Wednesday Apr 13,boxscore,CHC,,CIN,W,9,2,,7-1,1,up 2.0,Lackey,Simon,,3:03,N,36496,++++,
9,Thursday Apr 14,boxscore,CHC,,CIN,W,8,1,,8-1,1,up 3.0,Hammel,Iglesias,,3:07,N,34898,+++++,
10,Friday Apr 15,boxscore,CHC,,COL,L,1,6,,8-2,1,up 2.0,Bettis,Hendricks,,2:59,D,34437,-,
11,Saturday Apr 16,boxscore,CHC,,COL,W,6,2,,9-2,1,up 3.0,Arrieta,Bergman,,2:39,D,41702,+,
12,Sunday Apr 17,boxscore,CHC,,COL,L,0,2,,9-3,1,up 2.0,Chatwood,Lester,McGee,2:38,D,41678,-,
13,Monday Apr 18,boxscore,CHC,@,STL,W,5,0,,10-3,1,up 3.0,Lackey,Leake,,2:32,N,45432,+,
14,Tuesday Apr 19,boxscore,CHC,@,STL,W,2,1,,11-3,1,up 4.0,Hammel,Garcia,Rondon,3:20,N,43841,++,
15,Wednesday Apr 20,boxscore,CHC,@,STL,L,3,5,,11-4,1,up 3.0,Martinez,Hendricks,Rosenthal,2:40,D,43093,-,
16,Thursday Apr 21,boxscore,CHC,@,CIN,W,16,0,,12-4,1,up 3.5,Arrieta,Finnegan,,2:56,N,16497,+,
17,Friday Apr 22,boxscore,CHC,@,CIN,W,8,1,,13-4,1,up 4.0,Lester,Moscot,,3:03,N,25940,++,
18,Saturday Apr 23,boxscore,CHC,@,CIN,L,5,13,,13-5,1,up 3.5,Wood,Lackey,,3:19,N,41660,-,
19,Sunday Apr 24,boxscore,CHC,@,CIN,W,9,0,,14-5,1,up 3.5,Hammel,Simon,,3:08,D,36220,+,
20,Tuesday Apr 26,boxscore,CHC,,MIL,W,4,3,,15-5,1,up 3.5,Warren,Nelson,Rondon,3:09,N,35861,++,
21,Thursday Apr 28,boxscore,CHC,,MIL,W,7,2,,16-5,1,up 3.5,Arrieta,Jungmann,,3:45,D,32734,+++,
22,Friday Apr 29,boxscore,CHC,,ATL,W,6,1,,17-5,1,up 3.5,Strop,Johnson,,2:38,D,34007,++++,
23,Sunday May 1,boxscore,CHC,,ATL,L,3,4,10,17-6,1,up 3.0,Vizcaino,Rondon,Grilli,3:04,D,40164,-,
24,Monday May 2,boxscore,CHC,@,PIT,W,7,2,,18-6,1,up 4.0,Hammel,Cole,,3:18,N,18376,+,
25,Tuesday May 3,boxscore,CHC,@,PIT,W,7,1,,19-6,1,up 5.0,Arrieta,Niese,,2:31,N,22195,++,
26,Wednesday May 4,boxscore,CHC,@,PIT,W,6,2,,20-6,1,up 6.0,Lester,Nicasio,,3:25,D,28782,+++,
27,Thursday May 5,boxscore,CHC,,WSN,W,5,2,,21-6,1,up 6.5,Hendricks,Ross,,3:05,N,37564,++++,
28,Friday May 6,boxscore,CHC,,WSN,W,8,6,,22-6,1,up 6.5,Lackey,Scherzer,Rondon,2:46,D,39206,+++++,
29,Saturday May 7,boxscore,CHC,,WSN,W,8,5,,23-6,1,up 7.5,Warren,Solis,Rondon,3:32,D,40471,++++++,
30,Sunday May 8,boxscore,CHC,,WSN,W-wo,4,3,13,24-6,1,up 7.5,Wood,Treinen,,4:54,D,41233,+++++++,
31,Tuesday May 10,boxscore,CHC,,SDP,W,8,7,,25-6,1,up 8.5,Lester,Vargas,Rondon,3:13,N,34680,++++++++,
32,Wednesday May 11 (1),boxscore,CHC,,SDP,L,4,7,,25-7,1,up 7.0,Villanueva,Strop,Rodney,3:15,D,34508,-,
33,Wednesday May 11 (2),boxscore,CHC,,SDP,L,0,1,,25-8,1,up 7.0,Pomeranz,Lackey,Rodney,2:45,N,37828,--,2016-05-09 (Rain)
34,Friday May 13,boxscore,CHC,,PIT,W,9,4,,26-8,1,up 8.0,Hammel,Liriano,,2:55,D,37479,+,
35,Saturday May 14,boxscore,CHC,,PIT,W,8,2,,27-8,1,up 9.0,Arrieta,Locke,,2:42,D,40953,++,
36,Sunday May 15,boxscore,CHC,,PIT,L,1,2,,27-9,1,up 8.0,Cole,Lester,Melancon,2:55,D,40814,-,
37,Tuesday May 17,boxscore,CHC,@,MIL,L,2,4,,27-10,1,up 6.5,Anderson,Hendricks,Jeffress,2:10,N,24361,--,
38,Wednesday May 18,boxscore,CHC,@,MIL,W,2,1,13,28-10,1,up 7.5,Wood,Torres,Richard,5:00,N,31212,+,
