Tm,Opp,R,RA,score,apit,pit,oppq,apitera
SFG,LAD,3,0,3,Blach,Kershaw,0.562,1.06
SFG,CIN,1,2,-1,Bumgarner,Straily,0.42,2.74
SFG,SDP,1,4,-3,Bumgarner,Cashner,0.42,2.74
SFG,SDP,1,3,-2,Bumgarner,Perdomo,0.42,2.74
SFG,SDP,5,4,1,Bumgarner,Pomeranz,0.42,2.74
SFG,SDP,5,1,4,Bumgarner,Rea,0.42,2.74
SFG,ATL,6,0,6,Bumgarner,Blair,0.422,2.74
SFG,ATL,13,4,9,Bumgarner,Blair,0.422,2.74
SFG,ARI,1,2,-1,Bumgarner,Greinke,0.426,2.74
SFG,ARI,4,0,4,Bumgarner,Bradley,0.426,2.74
SFG,OAK,12,6,6,Bumgarner,Overton,0.426,2.74
SFG,PHI,2,3,-1,Bumgarner,Hellickson,0.438,2.74
SFG,MIL,12,3,9,Bumgarner,Peralta,0.451,2.74
SFG,MIL,3,2,1,Bumgarner,Smith,0.451,2.74
SFG,COL,6,4,2,Bumgarner,Bettis,0.463,2.74
SFG,PIT,0,1,-1,Bumgarner,Locke,0.484,2.74
SFG,NYM,6,1,5,Bumgarner,Syndergaard,0.518,2.74
SFG,NYM,10,7,3,Bumgarner,deGrom,0.518,2.74
SFG,BAL,6,2,4,Bumgarner,Gausman,0.549,2.74
SFG,LAD,3,7,-4,Bumgarner,Kershaw,0.562,2.74
SFG,LAD,5,9,-4,Bumgarner,Maeda,0.562,2.74
SFG,LAD,9,3,6,Bumgarner,McCarthy,0.562,2.74
SFG,WSN,0,1,-1,Bumgarner,Roark,0.586,2.74
SFG,CHC,1,0,1,Bumgarner,Hendricks,0.64,2.74
SFG,CHC,3,2,1,Bumgarner,Arrieta,0.64,2.74
SFG,CIN,9,7,2,Cain,Reed,0.42,5.64
SFG,ARI,0,3,-3,Cain,Ray,0.426,5.64
SFG,COL,6,11,-5,Cain,De La Rosa,0.463,5.64
SFG,COL,7,17,-10,Cain,Bergman,0.463,5.64
SFG,PIT,5,6,-1,Cain,Nicasio,0.484,5.64
SFG,NYM,5,6,-1,Cain,deGrom,0.518,5.64
SFG,BAL,2,5,-3,Cain,Bundy,0.549,5.64
SFG,TOR,0,4,-4,Cain,Happ,0.549,5.64
SFG,BOS,7,11,-4,Cain,Barnes,0.574,5.64
SFG,WSN,3,1,2,Cain,Gonzalez,0.586,5.64
SFG,WSN,7,1,6,Cain,Strasburg,0.586,5.64
SFG,CHC,5,3,2,Cain,Lester,0.64,5.64
SFG,SDP,6,7,-1,Casilla,Quackenbush,0.42,3.57
SFG,NYY,2,1,1,Casilla,Swarzak,0.518,3.57
SFG,STL,2,3,-1,Casilla,Oh,0.531,3.57
SFG,BAL,7,8,-1,Casilla,Brach,0.549,3.57
SFG,LAD,2,3,-1,Casilla,Kershaw,0.562,3.57
SFG,LAD,3,2,1,Casilla,Blanton,0.562,3.57
SFG,BOS,3,5,-2,Casilla,Tazawa,0.574,3.57
SFG,SDP,3,5,-2,Cueto,Jackson,0.42,2.79
SFG,SDP,1,0,1,Cueto,Shields,0.42,2.79
SFG,SDP,2,1,1,Cueto,Pomeranz,0.42,2.79
SFG,SDP,1,0,1,Cueto,Hand,0.42,2.79
SFG,ARI,2,6,-4,Cueto,Wagner,0.426,2.79
SFG,ARI,3,4,-1,Cueto,Greinke,0.426,2.79
SFG,ARI,4,2,2,Cueto,Greinke,0.426,2.79
SFG,ARI,6,4,2,Cueto,Miller,0.426,2.79
SFG,ARI,11,3,8,Cueto,Bradley,0.426,2.79
SFG,MIL,2,1,1,Cueto,Nelson,0.451,2.79
SFG,MIL,10,1,9,Cueto,Nelson,0.451,2.79
SFG,COL,8,3,5,Cueto,Rusin,0.463,2.79
SFG,COL,5,1,4,Cueto,De La Rosa,0.463,2.79
SFG,COL,7,2,5,Cueto,Gray,0.463,2.79
SFG,PIT,15,4,11,Cueto,Boscan,0.484,2.79
SFG,NYM,8,1,7,Cueto,Lugo,0.518,2.79
SFG,STL,5,1,4,Cueto,Wainwright,0.531,2.79
SFG,STL,6,2,4,Cueto,Wainwright,0.531,2.79
SFG,LAD,0,1,-1,Cueto,Hill,0.562,2.79
SFG,LAD,9,6,3,Cueto,Coleman,0.562,2.79
SFG,LAD,4,3,1,Cueto,Kazmir,0.562,2.79
SFG,LAD,2,0,2,Cueto,Hill,0.562,2.79
SFG,WSN,2,4,-2,Cueto,Roark,0.586,2.79
SFG,SDP,3,4,-1,Gearrin,Morrow,0.42,4.28
SFG,PHI,8,7,1,Gearrin,Gonzalez,0.438,4.28
SFG,COL,3,7,-4,Gearrin,Lyles,0.463,4.28
SFG,COL,10,5,5,Gearrin,Estevez,0.463,4.28
SFG,BOS,2,1,1,Gearrin,Price,0.574,4.28
SFG,ARI,7,9,-2,Heston,De La Rosa,0.426,10.8
SFG,LAD,12,6,6,Heston,Wood,0.562,10.8
SFG,SDP,4,3,1,Kontos,Hand,0.42,2.53
SFG,ARI,4,2,2,Kontos,Ray,0.426,2.53
SFG,PHI,4,5,-1,Kontos,Garcia,0.438,2.53
SFG,MIA,8,7,1,Kontos,McGowan,0.491,2.53
SFG,LAD,2,3,-1,Kontos,Hatcher,0.562,2.53
SFG,TBR,5,1,4,Law,Cedeno,0.42,2.13
SFG,ATL,4,5,-1,Law,Withrow,0.422,2.13
SFG,COL,2,1,1,Law,Miller,0.463,2.13
SFG,PIT,3,4,-1,Law,Bastardo,0.484,2.13
SFG,PIT,7,6,1,Law,Hughes,0.484,2.13
SFG,WSN,5,3,2,Law,Petit,0.586,2.13
SFG,OAK,11,13,-2,Lopez,Neal,0.426,4.05
SFG,MIL,3,4,-1,Lopez,Thornburg,0.451,4.05
SFG,COL,3,2,1,Lopez,Ottavino,0.463,4.05
SFG,LAD,1,2,-1,Lopez,Blanton,0.562,4.05
SFG,CIN,9,6,3,Mazzaro,Ramirez,0.42,54
SFG,ARI,4,2,2,Moore,Miller,0.426,4.08
SFG,ARI,5,3,2,Moore,Greinke,0.426,4.08
SFG,COL,0,6,-6,Moore,Bettis,0.463,4.08
SFG,COL,12,3,9,Moore,Marquez,0.463,4.08
SFG,PIT,5,8,-3,Moore,Vogelsong,0.484,4.08
SFG,MIA,0,2,-2,Moore,Koehler,0.491,4.08
SFG,NYM,5,9,-4,Moore,Colon,0.518,4.08
SFG,STL,8,2,6,Moore,Weaver,0.531,4.08
SFG,LAD,3,9,-6,Moore,Maeda,0.562,4.08
SFG,LAD,4,0,4,Moore,Stripling,0.562,4.08
SFG,LAD,7,1,6,Moore,Maeda,0.562,4.08
SFG,ARI,7,6,1,Nathan,Leone,0.426,0
SFG,ARI,5,4,1,Osich,Burgos,0.426,4.71
SFG,COL,5,6,-1,Osich,Lyles,0.463,4.71
SFG,MIA,4,5,-1,Osich,Barraclough,0.491,4.71
SFG,NYY,2,3,-1,Osich,Miller,0.518,4.71
SFG,CIN,4,7,-3,Peavy,Straily,0.42,5.54
SFG,CIN,5,7,-2,Peavy,DeSclafani,0.42,5.54
SFG,ATL,4,0,4,Peavy,Wisler,0.422,5.54
SFG,OAK,1,7,-6,Peavy,Manaea,0.426,5.54
SFG,PHI,5,4,1,Peavy,Araujo,0.438,5.54
SFG,COL,6,10,-4,Peavy,Rusin,0.463,5.54
SFG,COL,3,1,2,Peavy,Anderson,0.463,5.54
SFG,MIA,7,2,5,Peavy,Fernandez,0.491,5.54
SFG,NYM,1,13,-12,Peavy,Matz,0.518,5.54
SFG,STL,3,6,-3,Peavy,Martinez,0.531,5.54
SFG,TOR,1,3,-2,Peavy,Sanchez,0.549,5.54
SFG,LAD,2,1,1,Peavy,Urias,0.562,5.54
SFG,BOS,0,4,-4,Peavy,Porcello,0.574,5.54
SFG,CHC,1,8,-7,Peavy,Arrieta,0.64,5.54
SFG,CHC,2,3,-1,Reynolds,Cahill,0.64,7.5
SFG,PHI,3,2,1,Romo,Gonzalez,0.438,2.64
SFG,CIN,3,1,2,Samardzija,Cotham,0.42,3.81
SFG,SDP,0,4,-4,Samardzija,Clemens,0.42,3.81
SFG,SDP,13,9,4,Samardzija,Cashner,0.42,3.81
SFG,SDP,3,1,2,Samardzija,Shields,0.42,3.81
SFG,SDP,8,2,6,Samardzija,Cashner,0.42,3.81
SFG,SDP,2,1,1,Samardzija,Friedrich,0.42,3.81
SFG,TBR,5,1,4,Samardzija,Archer,0.42,3.81
SFG,ATL,3,5,-2,Samardzija,Foltynewicz,0.422,3.81
SFG,ATL,7,0,7,Samardzija,De La Cruz,0.422,3.81
SFG,ARI,3,1,2,Samardzija,Miller,0.426,3.81
SFG,ARI,6,2,4,Samardzija,Corbin,0.426,3.81
SFG,OAK,3,8,-5,Samardzija,Mengden,0.426,3.81
SFG,COL,0,2,-2,Samardzija,Butler,0.463,3.81
SFG,COL,0,2,-2,Samardzija,Chatwood,0.463,3.81
SFG,COL,7,2,5,Samardzija,Chatwood,0.463,3.81
SFG,MIA,8,1,7,Samardzija,Cosart,0.491,3.81
SFG,MIA,1,0,1,Samardzija,Phelps,0.491,3.81
SFG,NYM,0,2,-2,Samardzija,Syndergaard,0.518,3.81
SFG,NYY,2,5,-3,Samardzija,Eovaldi,0.518,3.81
SFG,STL,4,7,-3,Samardzija,Lyons,0.531,3.81
